pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD-10 3166 b,BD-10 3166,1,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,0.3537,-0.3508,9.83981,0.000607,-0.000607
BD-11 4672 b,BD-11 4672,1,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,0.0346,-0.0346,9.48511,0.000518,-0.000518
BD-11 4672 c,BD-11 4672,1,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,0.0346,-0.0346,9.48511,0.000518,-0.000518
BD-13 2130 b,BD-13 2130,1,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,41.211,-41.211,9.69971,0.000337,-0.000337
BD-14 3065 b,BD-14 3065 A,3,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,10.91,0.001617,-0.001617
BD-17 63 b,BD-17 63,1,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,0.0929,-0.0924,9.20112,0.000514,-0.000514
BD-210397 b,BD-210397,1,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,0.0228,-0.0227,9.25962,0.000826,-0.000826
BD-210397 c,BD-210397,1,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,0.0228,-0.0227,9.25962,0.000826,-0.000826
CD Cet b,CD Cet,1,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.60715,0.00658,-0.00658,12.1232,0.00105,-0.00105
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1,2.4,-2.4,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,,,
CHXR 73 b,CHXR 73,1,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.374,6.647,-6.22,17.2934,0.001396,-0.001396
CI Tau c,CI Tau,1,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.998,1.198,-1.18,12.1454,0.011866,-0.011866
COCONUTS-2 b,COCONUTS-2 A,1,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,0.0041,-0.0042,10.146,0.001567,-0.001567
CT Cha b,CT Cha,1,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,0.778,-0.771,11.7733,0.004701,-0.004701
CoRoT-1 b,CoRoT-1,1,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-10 b,CoRoT-10,1,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,14.6645,0.000329,-0.000329
CoRoT-11 b,CoRoT-11,1,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.841,0.000336,-0.000336
CoRoT-12 b,CoRoT-12,1,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.3453,0.00077,-0.00077
CoRoT-13 b,CoRoT-13,1,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,14.9147,0.0005,-0.0005
CoRoT-14 b,CoRoT-14,1,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.8116,0.000769,-0.000769
CoRoT-16 b,CoRoT-16,1,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,35.344,-32.282,15.6507,0.000998,-0.000998
CoRoT-17 b,CoRoT-17,1,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,57.17,-52.19,15.4368,0.000524,-0.000524
CoRoT-18 b,CoRoT-18,1,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.8009,0.001211,-0.001211
CoRoT-19 b,CoRoT-19,1,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,26.737,-25.071,13.7831,0.000558,-0.000558
CoRoT-2 b,CoRoT-2,2,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.283,2.485,-2.43,12.2489,0.000911,-0.000911
CoRoT-20 b,CoRoT-20,1,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,24.171,-22.883,14.4686,0.000412,-0.000412
CoRoT-20 c,CoRoT-20,1,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,24.171,-22.883,14.4686,0.000412,-0.000412
CoRoT-21 b,CoRoT-21,1,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1398.834197,286.4501849,-286.4501849,15.8558,0.001968,-0.001968
CoRoT-22 b,CoRoT-22,1,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.158,11.187,-10.808,13.7305,0.000304,-0.000304
CoRoT-23 b,CoRoT-23,1,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.97,45.47,-41.94,15.0681,0.000409,-0.000409
CoRoT-24 b,CoRoT-24,1,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,591.555,16.043,-15.232,15.1801,0.000631,-0.000631
CoRoT-24 c,CoRoT-24,1,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,591.555,16.043,-15.232,15.1801,0.000631,-0.000631
CoRoT-25 b,CoRoT-25,1,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.48,44.28,-41.05,14.711,0.000339,-0.000339
CoRoT-26 b,CoRoT-26,1,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1045.18,,,15.4682,0.001683,-0.001683
CoRoT-27 b,CoRoT-27,1,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.28,69.26,-61.036,15.3902,0.000615,-0.000615
CoRoT-28 b,CoRoT-28,1,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,766.183,14.685,-14.152,13.4119,0.000393,-0.000393
CoRoT-29 b,CoRoT-29,1,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703,806.507,44.027,-39.76,15.2394,0.000532,-0.000532
CoRoT-3 b,CoRoT-3,1,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,768.771,30.791,-28.545,13.2188,0.000298,-0.000298
CoRoT-30 b,CoRoT-30,1,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338,1032.23,48.57,-44.467,15.413,0.000666,-0.000666
CoRoT-31 b,CoRoT-31,1,06h19m16.98s,94.820735,-04d25m20.27s,-4.4222978,2005.76,169.79,-145.71,15.4655,0.000809,-0.000809
CoRoT-35 b,CoRoT-35,1,19h17m15.44s,289.3143526,-02d46m28.95s,-2.7747085,1123.21,55.9,-50.92,15.2625,0.000514,-0.000514
CoRoT-36 b,CoRoT-36,1,18h31m00.24s,277.7510149,+07d11m00.05s,7.1833465,925.958,27.796,-26.247,12.9515,0.00065,-0.00065
CoRoT-4 b,CoRoT-4,1,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861,726.412,15.181,-14.582,13.5613,0.000354,-0.000354
CoRoT-5 b,CoRoT-5,1,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.472,25.62,-25.62,13.9021,0.000418,-0.000418
CoRoT-6 b,CoRoT-6,1,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.294,12.453,-11.997,13.7459,0.000496,-0.000496
CoRoT-7 b,CoRoT-7,1,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,11.5239,0.000462,-0.000462
CoRoT-7 c,CoRoT-7,1,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,11.5239,0.000462,-0.000462
CoRoT-7 d,CoRoT-7,1,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,11.5239,0.000462,-0.000462
CoRoT-8 b,CoRoT-8,1,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,322.037,2.714,-2.714,14.2195,0.000262,-0.000262
CoRoT-9 b,CoRoT-9,2,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.98,4.725,-4.622,13.5008,0.00032,-0.00032
CoRoTID 223977153 b,CoRoTID 223977153,1,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,576.683,10.436,-10.436,13.5867,0.000754,-0.000754
DE CVn b,DE CVn,2,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449,30.5225,0.0284,-0.0285,11.9752,0.001081,-0.001081
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,20.77,0.08,-0.08,18.5577,0.002909,-0.002909
DH Tau b,DH Tau,1,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.846,1.282,-1.258,12.4961,0.008997,-0.008997
DMPP-1 b,DMPP-1,1,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,0.1782,-0.1773,7.85032,0.00029,-0.00029
DMPP-1 c,DMPP-1,1,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,0.1782,-0.1773,7.85032,0.00029,-0.00029
DMPP-1 d,DMPP-1,1,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,0.1782,-0.1773,7.85032,0.00029,-0.00029
DMPP-1 e,DMPP-1,1,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388,0.1782,-0.1773,7.85032,0.00029,-0.00029
DMPP-2 b,DMPP-2,1,01h49m37.86s,27.407731,-34d27m32.75s,-34.4590985,137.94,0.681,-0.675,8.45824,0.000266,-0.000266
DMPP-3 A b,DMPP-3 A,2,06h06m29.85s,91.624382,-72d30m45.6s,-72.5126648,45.23,1.6,-1.72,8.854298,,
DMPP-4 b,DMPP-4,1,19h34m19.84s,293.5826648,+51d14m08.90s,51.2358069,25.3284,0.0382,-0.038,5.60037,0.0014052,-0.0014052
DP Leo b,DP Leo,2,11h17m15.89s,169.3162193,+17d57m41.66s,17.9615717,305.684,33.554,-27.604,18.6333,0.015748,-0.015748
DS Tuc A b,DS Tuc A,2,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.31926,0.001025,-0.001025
EPIC 201170410.02,EPIC 201170410,1,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,134,45.8,-39.8,16.4386,0.007283,-0.007283
EPIC 201238110 b,EPIC 201238110,1,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.259,1.414,-1.39,15.2612,0.000501,-0.000501
EPIC 201427007 b,EPIC 201427007,1,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886,706.391,16.79,-16.79,14.147,0.000208,-0.000208
EPIC 201497682 b,EPIC 201497682,1,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,253.026,1.664,-1.664,13.7368,0.000323,-0.000323
EPIC 201595106 b,EPIC 201595106,1,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.6477,0.000245,-0.000245
EPIC 201615463 c,K2-166,1,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,476.882,9.692,-9.321,11.9456,0.000236,-0.000236
EPIC 201754305 d,K2-16,1,11h40m23.33s,175.0972238,+04d33m26.75s,4.5574311,334.967,4.1785,-4.1785,14.3234,0.000359,-0.000359
EPIC 201757695.02,EPIC 201757695,1,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303,577.6,33.2,-29.8,,,
EPIC 201833600 c,K2-50,1,11h17m56.08s,169.483654,+05d59m17.84s,5.988289,257.443,3.239,-3.239,14.2575,0.000513,-0.000513
EPIC 201841433 b,EPIC 201841433,1,11h40m49.62s,175.206752,+06d08m05.33s,6.1348146,436.488,8.178001,-7.888,14.5885,0.00051,-0.00051
EPIC 205950854 c,K2-168,1,22h12m26.42s,333.1100738,-16d20m30.79s,-16.3418863,243.935,4.239,-4.099,12.0976,0.000305,-0.000305
